delivery_date,weight,vehicle_size,billed_miles,total,pickup_state,deliver_state,duration_hours,rpm,predicted_cost,predicted_rpm,error,label
2022-12-12,2700,DOCK HIGH STRAIGHT,1578.0,3200.0,TX,IN,40,2.0278833967046896,3079.8644474993544,1.9517518678703127,-0.08,-1
2022-12-09,300,CARGO VAN,478.0,1046.3,IL,MO,10,2.1889121338912134,998.3294537590708,2.0885553425921985,-0.1,-2
2022-12-14,3850,DOCK HIGH STRAIGHT,1411.0,2800.0,WI,TX,44,1.984408221119773,3466.4934094525947,2.4567635786340145,0.47,5
2022-12-12,770,SPRINTER,1312.0,1600.0,TX,KY,35,1.2195121951219512,2048.032469076289,1.5610003575276594,0.34,4
2022-12-17,1148,DOCK HIGH STRAIGHT,2192.0,7136.93,CELAYA,MI,117,3.2558987226277374,5468.327696241461,2.494675043905776,-0.76,-8
2022-12-11,8760,TRACTOR,1818.0,10487.09,TX,ON,56,5.768476347634763,9337.799669213751,5.136303448412406,-0.63,-7
2022-12-12,4466,DOCK HIGH STRAIGHT,1386.0,2636.67,TX,IN,56,1.902359307359308,3619.142561417508,2.6112139692767014,0.71,8
2022-12-12,3300,TRACTOR,1653.0,2800.0,TX,MI,64,1.693889897156685,3865.338509972895,2.3383778039763428,0.64,7
2022-12-12,934,CARGO VAN,1680.0,2781.66,TX,MI,61,1.6557499999999998,2006.043573337752,1.1940735555581856,-0.46,-5
2022-12-12,300,CARGO VAN,1823.0,2443.0,SL,IN,74,1.34009873834339,2950.123171978315,1.6182793044313302,0.28,3
2022-12-11,280,SPRINTER,1649.0,2761.62,TX,MI,45,1.674724075197089,2053.927414165828,1.245559377905293,-0.43,-5
2022-12-14,840,CARGO VAN,1649.0,2384.41,TX,MI,38,1.4459733171619162,1934.6928467691453,1.1732521811820165,-0.27,-3
2022-12-12,1750,DOCK HIGH STRAIGHT,1604.0,2650.0,TX,MI,35,1.6521197007481296,2748.380329896642,1.7134540710078814,0.06,1
2022-12-17,17889,TRACTOR,2281.0,10550.0,AG,ON,117,4.625164401578255,10148.721007340437,4.44924200234127,-0.18,-2
2022-12-15,1080,DOCK HIGH STRAIGHT,1452.0,2500.0,OH,TX,47,1.721763085399449,2650.10869694806,1.8251437306804816,0.1,2
2022-12-14,29453,TRACTOR,330.0,1033.0,MI,OH,17,3.1303030303030304,2051.8507204037314,6.217729455768883,3.09,31
2022-12-16,7000,TRACTOR,1645.0,4995.0,TX,OH,9,3.0364741641337387,5169.112456503834,3.142317602737893,0.11,2
2022-12-15,42818,TRACTOR,415.0,1097.0,MO,WI,27,2.643373493975904,1617.8201003451354,3.89836168757864,1.25,13
2022-12-22,926,SPRINTER,342.0,2292.63,CU,TX,42,6.703596491228071,2492.676480747457,7.288527721483792,0.58,6
2022-12-10,100,CARGO VAN,700.0,1900.0,TX,TX,21,2.7142857142857144,1357.9721581518693,1.9399602259312416,-0.77,-8
2022-12-11,503,CARGO VAN,1662.0,1720.79,TX,OH,42,1.0353730445246692,2001.0553912369664,1.204004447194324,0.17,2
2022-12-12,566,SPRINTER,1475.0,1553.0,MI,TX,46,1.0528813559322034,1768.2709870367828,1.1988277878215476,0.15,2
2022-12-11,157,SPRINTER,583.0,1277.81,WI,OH,36,2.1917838765008577,1032.8832579345894,1.7716693961142187,-0.42,-5
2022-12-12,2000,DOCK HIGH STRAIGHT,1235.0,2270.0,KY,TX,48,1.838056680161944,2273.2817056019444,1.840713931661493,0.0,1
2022-12-14,830,CUBE VAN,1616.0,2971.57,TX,MI,41,1.8388428217821784,2587.355639730994,1.601086410724625,-0.24,-3
2022-12-12,120,CARGO VAN,548.0,1172.36,MN,OH,43,2.1393430656934305,1046.0616472199558,1.9088716190145176,-0.23,-3
2022-12-13,899,SPRINTER,1169.0,2250.0,TX,IL,22,1.924721984602224,1651.5698713101729,1.4128057068521582,-0.51,-6
2022-12-12,381,SPRINTER,1733.0,2023.95,TX,MI,59,1.1678880553952684,2194.507452251748,1.266305511974465,0.1,2
2022-12-11,1500,CUBE VAN,1575.0,2481.78,TX,MI,45,1.5757333333333334,2938.5811511463835,1.865765810251672,0.29,3
2022-12-15,26,CARGO VAN,1606.0,2797.69,TX,MI,39,1.742023661270237,1868.755873417804,1.1636088875577857,-0.58,-6
2022-12-14,2496,CUBE VAN,1576.0,3183.27,TX,MI,43,2.0198413705583755,2804.6560515774613,1.779604093640521,-0.24,-3
2022-12-16,5200,DOCK HIGH STRAIGHT,1606.0,2700.0,MI,TX,49,1.6811955168119552,3232.449796361108,2.012733372578523,0.33,4
2022-12-14,3200,DOCK HIGH STRAIGHT,1575.0,2650.0,TX,MI,37,1.6825396825396826,3048.5313389403123,1.9355754532954363,0.25,3
2022-12-12,4218,DOCK HIGH STRAIGHT,1865.0,2800.0,TX,PA,58,1.5013404825737264,4366.518628771072,2.341296851887974,0.84,9
2022-12-12,214,SPRINTER,1712.0,2062.14,TX,MI,44,1.204521028037383,2247.834833409104,1.3129876363370931,0.11,2
2022-12-12,450,SPRINTER,1712.0,1961.14,TX,MI,43,1.1455257009345794,2254.552588133258,1.3169115584890525,0.17,2
2022-12-12,25000,TRACTOR,985.0,5200.0,TX,AL,38,5.279187817258883,4870.47411737537,4.944643773985147,-0.33,-4
2022-12-15,950,DOCK HIGH STRAIGHT,1467.0,2750.0,TX,OH,47,1.874573960463531,3079.346353137616,2.0990772686691312,0.22,3
2022-12-11,8100,DOCK HIGH STRAIGHT,1499.0,5200.0,TX,MI,38,3.468979319546364,3524.9804209936656,2.3515546504293967,-1.12,-12
2022-12-12,8200,TRACTOR,1499.0,5200.0,TX,MI,42,3.468979319546364,4235.521762681624,2.8255648850444457,-0.64,-7
2022-12-10,1230,CARGO VAN,341.0,857.87,IL,KY,5,2.51574780058651,854.6964260981304,2.506441132252582,-0.01,-1
2022-12-11,2,TRACTOR,718.0,4399.87,GA,MI,27,6.127952646239554,3925.6151438063584,5.467430562404399,-0.66,-7
2022-12-12,14350,TRACTOR,982.0,6046.9,TX,MO,40,6.157739307535641,4200.735675945767,4.277734904221759,-1.88,-19
2022-12-17,663,CARGO VAN,1604.0,4147.98,CU,OH,118,2.586022443890274,3458.147109661696,2.1559520633801093,-0.43,-5
2022-12-11,173,CARGO VAN,691.0,1377.67,TX,TX,32,1.993733719247468,1538.4625500493687,2.226429160708204,0.23,3
2022-12-14,3601,DOCK HIGH STRAIGHT,1654.0,3082.89,TX,MI,36,1.8638996372430472,2951.0884369093283,1.7842130815654946,-0.08,-1
2022-12-11,12950,TRACTOR,1277.0,5966.59,TX,KY,27,4.672349256068912,6137.985318967716,4.806566420491556,0.13,2
2022-12-12,2400,DOCK HIGH STRAIGHT,1277.0,4477.84,TX,KY,43,3.5065309318715743,2727.1634375981234,2.135601752230324,-1.37,-14
2022-12-14,2310,TRACTOR,1649.0,3124.44,TX,MI,46,1.89474833232262,3112.4139387732416,1.8874553904022084,-0.01,-1
2022-12-15,9735,DOCK HIGH STRAIGHT,1647.0,2719.06,TX,MI,40,1.650916818457802,3537.2952680344297,2.147720259887328,0.5,6
2022-12-12,32100,TRACTOR,1591.0,8123.19,TX,MI,38,5.105713387806411,5782.400094082093,3.63444380520559,-1.47,-15
